LemonChiffon4	#9c9a83
LemonChiffon3	#d6d2b3
LemonChiffon2	#f1ecca
LemonChiffon1	#fffad6
NavajoWhite4	#9d8b71
NavajoWhite3	#d6bf9c
NavajoWhite2	#f1d7b0
NavajoWhite1	#ffe3ba
PeachPuff4	#9d8978
PeachPuff3	#d6bca5
PeachPuff2	#f2d4ba
PeachPuff1	#ffe0c5
bisque4	#9c8f7e
bisque3	#d6c3ad
bisque2	#f1dcc3
bisque1	#ffe8ce
AntiqueWhite4	#9c958a
AntiqueWhite3	#d6cbbd
AntiqueWhite2	#f1e5d5
AntiqueWhite1	#fff1e1
seashell4	#9c9794
seashell3	#d6cfca
seashell2	#f1eae4
seashell1	#fff7f1
snow4	#9c9a9a
snow3	#d6d3d3
snow2	#f1eded
snow1	#fffbfb
thistle	#e0cbdf
MediumPurple	#a488e2
purple	#932092
BlueViolet	#9d4be7
DarkViolet	#a630db
DarkOrchid	#ab4fd5
MediumOrchid	#c871db
orchid	#e289dd
plum	#e4b2e3
violet	#f39bf1
magenta	#ff40ff
VioletRed	#db3da1
MediumVioletRed	#d33397
maroon	#bf4673
PaleVioletRed	#e387a3
LightPink	#ffc4cc
pink	#ffccd4
DeepPink	#ff39a3
HotPink	#ff83c1
red	#ff2600
OrangeRed	#ff5d00
tomato	#ff7a58
LightCoral	#f49592
coral	#ff9362
DarkOrange	#ff9d00
orange	#ff9200
LightSalmon	#ffb08c
salmon	#fc9584
DarkSalmon	#eea78c
brown	#aa7941
firebrick	#c1352c
chocolate	#dc7d26
tan	#dbc09d
SandyBrown	#f7b372
wheat	#f7e3c0
beige	#f7f6e2
burlywood	#e5c498
peru	#d7974f
sienna	#b1653a
SaddleBrown	#9d5717
IndianRed	#d8726e
RosyBrown	#c8a1a0
DarkGoldenrod	#c59606
goldenrod	#e2b228
LightGoldenrod	#f1e193
gold	#ffdc00
yellow	#fefb00
LightYellow	#fefee5
LightGoldenrodYellow	#fafada
PaleGoldenrod	#f1ebb8
khaki	#f3e99d
DarkKhaki	#c8c27d
OliveDrab	#7d9c2d
ForestGreen	#24992c
YellowGreen	#a8d240
LimeGreen	#35d140
GreenYellow	#b8fa3c
MediumSpringGreen	#00f6aa
chartreuse	#8cf900
green	#00f900
LawnGreen	#89f700
SpringGreen	#00fa91
PaleGreen	#a5f8a8
LightSeaGreen	#1bbdb8
MediumSeaGreen	#46bd84
SeaGreen	#379a6a
DarkSeaGreen	#9fc6a0
DarkOliveGreen	#677c3d
DarkGreen	#007400
aquamarine	#8dfcdc
MediumAquamarine	#75d4b8
CadetBlue	#70adaf
LightCyan	#e5feff
cyan	#00fcff
turquoise	#48e3d9
MediumTurquoise	#53d7d5
DarkTurquoise	#00d5d9
PaleTurquoise	#bbf0f1
PowderBlue	#bce5eb
LightBlue	#badfeb
LightSteelBlue	#bdcfe4
SteelBlue	#5595c1
LightSkyBlue	#97d7fb
SkyBlue	#96d7ef
DeepSkyBlue	#00caff
DodgerBlue	#1ea4ff
blue	#0432ff
RoyalBlue	#5181e7
MediumBlue	#0228d6
LightSlateBlue	#9689ff
MediumSlateBlue	#8e81f1
SlateBlue	#7d73d6
DarkSlateBlue	#5a529c
CornflowerBlue	#76a8f0
navy	#011892
NavyBlue	#011892
MidnightBlue	#212983
LightGray	#dbdbdb
LightGrey	#dbdbdb
gray	#c9c9c9
grey	#c9c9c9
LightSlateGray	#899aa9
LightSlateGrey	#899aa9
SlateGray	#8292a1
SlateGrey	#8292a1
DimGray	#7c7c7c
DimGrey	#7c7c7c
DarkSlateGray	#3c6161
DarkSlateGrey	#3c6161
black	#000000
white	#ffffff
MistyRose	#ffe9e6
LavenderBlush	#fff3f7
lavender	#eaebfb
AliceBlue	#f2f9ff
azure	#f2feff
MintCream	#f6fefb
honeydew	#f2fef3
seashell	#fff7f1
LemonChiffon	#fffad6
ivory	#fefef3
cornsilk	#fff8e2
moccasin	#ffe8c1
NavajoWhite	#ffe3ba
PeachPuff	#ffe0c5
bisque	#ffe8ce
BlanchedAlmond	#ffeed6
PapayaWhip	#fff1dc
AntiqueWhite	#fbeede
linen	#fbf2ea
OldLace	#fdf6ea
FloralWhite	#fffaf3
gainsboro	#e2e2e2
WhiteSmoke	#f7f7f7
GhostWhite	#f9f9ff
snow	#fffbfb
Blue	#0432ff
Brown	#aa7941
Cyan	#00fcff
Green	#00f900
Magenta	#ff40ff
Orange	#ff9200
Purple	#932092
Red	#ff2600
Yellow	#fefb00
White	#ffffff
